slice,threshold,n,n_positive,frac_one_cluster,frac_clusters_1,frac_clusters_2,frac_clusters_3,frac_clusters_4,frac_clusters_5,mean_entropy,frac_entropy_zero,mean_dispersion,frac_dispersion_clipped,mean_pairwise_distance_min,mean_pairwise_distance_median,mean_pairwise_distance_max,frac_pairwise_above_threshold,auroc_mean_pairwise_distance,auroc_any_variation,distinct_scores_reference_weight,frac_score_zero_reference_weight,frac_score_zero_positives,frac_score_zero_negatives,frac_one_cluster_positives,frac_one_cluster_negatives
model:glm-5.3-flash,0.5,2879,752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.007569472675827872,0.0,0.0,0.0020340690027628393,0.11018022831505951,0.0,0.7644372880592983,0.6374869959687504,1744,0.3494268843348385,0.14627659574468085,0.4212505876821815,1.0,1.0
model:glm-5.3-flash,0.7,2879,752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005406766197019909,0.0,0.0,0.0020340690027628393,0.11018022831505951,0.0,0.7644372880592983,0.6374869959687504,1744,0.3494268843348385,0.14627659574468085,0.4212505876821815,1.0,1.0
model:qwen3.6-27b,0.1,2880,720,0.9958333333333333,0.9958333333333333,0.004166666666666667,0.0,0.0,0.0,0.003267432165746621,0.9958333333333333,0.03131124910274506,0.0,0.0,0.0,0.09393012628205658,0.0,0.9311033950617283,0.9287037037037037,537,0.7375,0.09444444444444444,0.9518518518518518,0.9888888888888889,0.9981481481481481
model:qwen3.6-27b,0.2,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01565562455137253,0.0,0.0,0.0,0.09393012628205658,0.0,0.9311033950617283,0.9287037037037037,537,0.7375,0.09444444444444444,0.9518518518518518,1.0,1.0
model:qwen3.6-27b,0.35,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008946071172212874,0.0,0.0,0.0,0.09393012628205658,0.0,0.9311033950617283,0.9287037037037037,537,0.7375,0.09444444444444444,0.9518518518518518,1.0,1.0
model:qwen3.6-27b,0.5,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0062622498205490125,0.0,0.0,0.0,0.09393012628205658,0.0,0.9311033950617283,0.9287037037037037,537,0.7375,0.09444444444444444,0.9518518518518518,1.0,1.0
model:qwen3.6-27b,0.7,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004473035586106437,0.0,0.0,0.0,0.09393012628205658,0.0,0.9311033950617283,0.9287037037037037,537,0.7375,0.09444444444444444,0.9518518518518518,1.0,1.0
model:qwen3.8-27b,0.1,2880,720,0.9961805555555555,0.9961805555555555,0.003125,0.0006944444444444445,0.0,0.0,0.003095783780848054,0.9961805555555555,0.0995484594975867,0.001388888888888889,0.0,0.008866087804482125,0.11668520004136847,0.001388888888888889,0.6962737911522634,0.7113425925925926,1327,0.3392361111111111,0.022222222222222223,0.4449074074074074,0.9958333333333333,0.9962962962962963
model:qwen3.8-27b,0.2,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04986154402947466,0.0,0.0,0.008866087804482125,0.11668520004136847,0.0,0.6962737911522634,0.7113425925925926,1328,0.3392361111111111,0.022222222222222223,0.4449074074074074,1.0,1.0
model:qwen3.8-27b,0.35,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02849231087398553,0.0,0.0,0.008866087804482125,0.11668520004136847,0.0,0.6962737911522634,0.7113425925925926,1328,0.3392361111111111,0.022222222222222223,0.4449074074074074,1.0,1.0
