model,arm,stratum,metric,baseline_arm,baseline_value,arm_value,full_arm_baseline_descriptive,full_arm_comparison_descriptive,delta,delta_ci_low,delta_ci_high,delta_cluster_field,n_delta_clusters,n_baseline,n_arm,n_complete_pairs,n_excluded_single_arm,n_matched_capabilities,n_excluded_ineligible_items,n_duplicate_identities,n_missing_identity_rows,n_baseline_failed_items,n_comparison_failed_items,n_baseline_unclassified_items,n_comparison_unclassified_items,n_baseline_eligible_items,n_comparison_eligible_items,unavailable_reason,delta_ci_unavailable_reason,cluster_note
glm-5.3,shuffled_4,all,strict_text_strengthening,single,0.25,0.5028089887640449,0.25277777777777777,0.5028089887640449,0.2528089887640449,0.2268749119759636,0.28090324065257405,seed_id,180,720,720,712,0,180,8,0,0,0,0,0,8,720,712,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled_4,all,broad_text_strengthening,single,0.25,0.5028089887640449,0.25277777777777777,0.5028089887640449,0.2528089887640449,0.2268749119759636,0.28090324065257405,seed_id,180,720,720,712,0,180,8,0,0,0,0,0,8,720,712,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped,weak_intent,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped,weak_intent,strict_text_strengthening,single,1.0,0.9777777777777777,1.0,0.9777777777777777,-0.022222222222222254,-0.050000000000000044,-0.005555555555555536,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped,weak_intent,broad_text_strengthening,single,1.0,0.9777777777777777,1.0,0.9777777777777777,-0.022222222222222254,-0.050000000000000044,-0.005555555555555536,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped_4,weak_intent,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,1,180,180,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped_4,weak_intent,strict_text_strengthening,single,1.0,0.8379888268156425,1.0,0.8379888268156425,-0.16201117318435754,-0.2122905027932961,-0.1061452513966481,seed_id,179,180,180,179,0,179,1,0,0,0,0,0,1,180,179,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped_4,weak_intent,broad_text_strengthening,single,1.0,0.8379888268156425,1.0,0.8379888268156425,-0.16201117318435754,-0.2122905027932961,-0.1061452513966481,seed_id,179,180,180,179,0,179,1,0,0,0,0,0,1,180,179,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled,weak_intent,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled,weak_intent,strict_text_strengthening,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled,weak_intent,broad_text_strengthening,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled_4,weak_intent,label_accuracy,single,1.0,0.9722222222222222,1.0,0.9722222222222222,-0.02777777777777779,-0.05555555555555558,-0.005555555555555536,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,4,180,180,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled_4,weak_intent,strict_text_strengthening,single,1.0,0.9943181818181818,1.0,0.9943181818181818,-0.005681818181818232,-0.017045454545454586,0.0,seed_id,176,180,180,176,0,176,4,0,0,0,0,0,4,180,176,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled_4,weak_intent,broad_text_strengthening,single,1.0,0.9943181818181818,1.0,0.9943181818181818,-0.005681818181818232,-0.017045454545454586,0.0,seed_id,176,180,180,176,0,176,4,0,0,0,0,0,4,180,176,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped,all,label_accuracy,single,0.7861111111111111,0.9944444444444445,0.7861111111111111,0.9944444444444445,0.20833333333333337,0.1930208333333333,0.22083333333333333,seed_id,180,720,720,720,0,180,0,0,0,0,0,239,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped,all,strict_text_strengthening,single,0.37214137214137216,0.02702702702702703,0.37214137214137216,0.022222222222222223,-0.34511434511434513,-0.3752728282122287,-0.31623847167325425,seed_id,172,720,720,481,0,172,239,0,0,0,0,239,0,481,720,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped,all,broad_text_strengthening,single,0.4282744282744283,0.25363825363825365,0.4282744282744283,0.23333333333333334,-0.17463617463617465,-0.23444564578526755,-0.10598691683569979,seed_id,172,720,720,481,0,172,239,0,0,0,0,239,0,481,720,,,capability-conditional; cross-capability request dependence not modelled
