model,dataset,variant,source_modality,n_planned,n_readable,n_strict_up,n_broad_only_up,n_equal,n_down,n_unknown,n_negated,n_invalid,n_heuristic
qwen3.8-27b,all,all,optional,720,720,0,0,720,0,0,0,0,0
qwen3.8-27b,all,all,recommended,720,720,0,0,720,0,0,0,0,0
qwen3.8-27b,all,all,mandatory,720,720,0,0,720,0,0,0,0,0
qwen3.8-27b,mlm_tapt,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
qwen3.8-27b,mlm_tapt,must,optional,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,mlm_tapt,must,recommended,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,mlm_tapt,must,mandatory,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,mlm_tapt,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
qwen3.8-27b,mlm_tapt,shall,optional,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,mlm_tapt,shall,recommended,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,mlm_tapt,shall,mandatory,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,nice,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
qwen3.8-27b,nice,must,optional,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,nice,must,recommended,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,nice,must,mandatory,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,nice,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
qwen3.8-27b,nice,shall,optional,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,nice,shall,recommended,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,nice,shall,mandatory,180,180,0,0,180,0,0,0,0,0
