model,arm,stratum,run_id,batch_size,batch_order,n,n_failed,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90
gemma4-31b-it,shuffled_4,weak_intent,full-20260912-154431-da59ea89,4,shuffled,180,0,180,1.0,0.6722222222222223,0.582844537815126,0.7558841218925421,0.6,0.7444444444444445,1.0,1.0,1.0,1.0,1.0,batch_id,0.6444444444444445
glm-5.3,single,all,full-20260912-143818-62f432ec,1,grouped,720,0,720,1.0,0.25277777777777777,0.2235763888888889,0.2847569444444444,0.25,0.25833333333333336,0.25277777777777777,0.2235763888888889,0.2847569444444444,0.25,0.25833333333333336,item_id,
glm-5.3,grouped,all,full-20260912-150225-7b879841,16,grouped,720,0,720,1.0,0.7236111111111111,0.6819444444444445,0.75,0.7041666666666667,0.7402777777777778,0.7236111111111111,0.6819444444444445,0.75,0.7041666666666667,0.7402777777777778,batch_id,
glm-5.3,grouped_4,all,full-20260912-145245-dc3aa3f6,4,grouped,720,0,716,1.0,0.48044692737430167,0.43993569926558285,0.5196950913313665,0.43993569926558285,0.5196950913313665,0.48044692737430167,0.43993569926558285,0.5196950913313665,0.43993569926558285,0.5196950913313665,batch_id,
glm-5.3,shuffled,all,full-20260912-150505-54bbf594,16,shuffled,720,0,720,1.0,0.6194444444444445,0.5555555555555556,0.6833333333333333,0.5999652777777778,0.6402777777777777,0.6194444444444445,0.5555555555555556,0.6833333333333333,0.5999652777777778,0.6402777777777777,batch_id,
glm-5.3,shuffled_4,all,full-20260912-145739-8e491836,4,shuffled,720,0,712,0.9930555555555556,0.5028089887640449,0.4550339419475655,0.5488889382245616,0.4774011299435028,0.5293296089385475,0.5028089887640449,0.4550339419475655,0.5488889382245616,0.4774011299435028,0.5293296089385475,batch_id,
glm-5.3,single,weak_intent,full-20260912-143818-62f432ec,1,grouped,180,0,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,0.4888888888888889
glm-5.3,grouped,weak_intent,full-20260912-150225-7b879841,16,grouped,180,0,180,1.0,0.9777777777777777,0.9333333333333333,1.0,0.9555555555555556,0.9944444444444445,0.9777777777777777,0.9333333333333333,1.0,0.9555555555555556,0.9944444444444445,batch_id,0.9777777777777777
glm-5.3,grouped_4,weak_intent,full-20260912-145245-dc3aa3f6,4,grouped,180,0,179,1.0,0.8379888268156425,0.776536312849162,0.8889830508474575,0.776536312849162,0.8889830508474575,0.8379888268156425,0.776536312849162,0.8889830508474575,0.776536312849162,0.8889830508474575,batch_id,0.6759776536312849
glm-5.3,shuffled,weak_intent,full-20260912-150505-54bbf594,16,shuffled,180,0,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,batch_id,0.85
glm-5.3,shuffled_4,weak_intent,full-20260912-145739-8e491836,4,shuffled,180,0,176,0.9722222222222222,0.9943181818181818,0.9817016711833785,1.0,0.9825530095759234,1.0,0.9943181818181818,0.9817016711833785,1.0,0.9825530095759234,1.0,batch_id,0.3125
glm-5.3-flash,single,all,full-20260924-195718-c567056f,1,grouped,720,0,720,0.9319444444444445,0.2638888888888889,0.23194444444444445,0.29444444444444445,0.25555555555555554,0.2722222222222222,0.2638888888888889,0.23194444444444445,0.29444444444444445,0.25555555555555554,0.2722222222222222,item_id,
glm-5.3-flash,grouped,all,full-20260924-202614-a40d23a8,16,grouped,720,0,720,1.0,0.03888888888888889,0.016666666666666666,0.06666666666666667,0.02638888888888889,0.05281249999999997,0.03888888888888889,0.016666666666666666,0.06666666666666667,0.02638888888888889,0.05281249999999997,batch_id,
glm-5.3-flash,grouped_4,all,full-20260924-201305-0319167c,4,grouped,720,0,720,1.0,0.05138888888888889,0.03611111111111111,0.06531249999999997,0.03611111111111111,0.06531249999999997,0.05138888888888889,0.03611111111111111,0.06531249999999997,0.03611111111111111,0.06531249999999997,batch_id,
glm-5.3-flash,shuffled,all,full-20260924-203023-82d3d4db,16,shuffled,720,0,704,0.9680555555555556,0.20454545454545456,0.15482954545454544,0.25300595238095236,0.1898698062442442,0.22,0.22727272727272727,0.16963789682539684,0.2897727272727273,0.21156013364142884,0.2432882594440369,batch_id,
glm-5.3-flash,shuffled_4,all,full-20260924-201946-e6ee8089,4,shuffled,720,0,716,0.9305555555555556,0.2569832402234637,0.22014803675723718,0.2949724593559726,0.23783031988873435,0.2747593995551826,0.2751396648044693,0.2344632768361582,0.31603693270981104,0.252423413406677,0.29708150230242397,batch_id,
glm-5.3-flash,single,weak_intent,full-20260924-195718-c567056f,1,grouped,180,0,180,0.7277777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,0.43333333333333335
glm-5.3-flash,grouped,weak_intent,full-20260924-202614-a40d23a8,16,grouped,180,0,180,1.0,0.15555555555555556,0.06666666666666667,0.26666666666666666,0.10555555555555556,0.21124999999999988,0.15555555555555556,0.06666666666666667,0.26666666666666666,0.10555555555555556,0.21124999999999988,batch_id,0.15555555555555556
glm-5.3-flash,grouped_4,weak_intent,full-20260924-201305-0319167c,4,grouped,180,0,180,1.0,0.20555555555555555,0.14444444444444443,0.26124999999999987,0.14444444444444443,0.26124999999999987,0.20555555555555555,0.14444444444444443,0.26124999999999987,0.14444444444444443,0.26124999999999987,batch_id,0.19444444444444445
glm-5.3-flash,shuffled,weak_intent,full-20260924-203023-82d3d4db,16,shuffled,180,0,177,0.8722222222222222,0.7909604519774012,0.6444407158836689,0.912568306010929,0.7288135593220338,0.8466125770416024,0.8248587570621468,0.6874693627450981,0.9293038493038492,0.7640189647333896,0.8764217563241479,batch_id,0.6892655367231638
glm-5.3-flash,shuffled_4,weak_intent,full-20260924-201946-e6ee8089,4,shuffled,180,0,179,0.7388888888888889,0.888268156424581,0.8333100558659218,0.9326597582037996,0.8333333333333334,0.9329608938547486,0.888268156424581,0.8333100558659218,0.9326597582037996,0.8333333333333334,0.9329608938547486,batch_id,0.48044692737430167
