model,dataset,variant,source_modality,text_modality,n,n_strict,n_heuristic,n_frame_only,n_escalation,source_readable_n,strict_percentage
gemma4-12b-it,nice,shall,recommended,mandatory,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,mandatory,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,mandatory,optional,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,mandatory,recommended,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,mandatory,mandatory,180,0,0,0,0,180,0.0
gemma4-31b-it,all,all,nice_to_have,nice_to_have,0,0,0,0,0,720,0.0
gemma4-31b-it,all,all,nice_to_have,optional,291,291,0,291,0,720,40.416666666666664
gemma4-31b-it,all,all,nice_to_have,recommended,428,428,0,0,428,720,59.44444444444444
gemma4-31b-it,all,all,nice_to_have,mandatory,1,0,1,0,0,720,0.0
gemma4-31b-it,all,all,optional,nice_to_have,0,0,0,0,0,720,0.0
gemma4-31b-it,all,all,optional,optional,720,0,0,0,0,720,0.0
gemma4-31b-it,all,all,optional,recommended,0,0,0,0,0,720,0.0
gemma4-31b-it,all,all,optional,mandatory,0,0,0,0,0,720,0.0
gemma4-31b-it,all,all,recommended,nice_to_have,0,0,0,0,0,720,0.0
gemma4-31b-it,all,all,recommended,optional,0,0,0,0,0,720,0.0
gemma4-31b-it,all,all,recommended,recommended,720,0,0,0,0,720,0.0
gemma4-31b-it,all,all,recommended,mandatory,0,0,0,0,0,720,0.0
gemma4-31b-it,all,all,mandatory,nice_to_have,0,0,0,0,0,720,0.0
gemma4-31b-it,all,all,mandatory,optional,0,0,0,0,0,720,0.0
gemma4-31b-it,all,all,mandatory,recommended,0,0,0,0,0,720,0.0
gemma4-31b-it,all,all,mandatory,mandatory,720,0,0,0,0,720,0.0
gemma4-31b-it,mlm_tapt,must,nice_to_have,nice_to_have,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,nice_to_have,optional,82,82,0,82,0,180,45.55555555555556
gemma4-31b-it,mlm_tapt,must,nice_to_have,recommended,98,98,0,0,98,180,54.44444444444444
gemma4-31b-it,mlm_tapt,must,nice_to_have,mandatory,0,0,0,0,0,180,0.0
