model,item_context,stratum,run_id,n,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90,estimate_cohort,n_failed_items,n_unclassified_items
gemma4-12b-it,document,marker_M/modality_recommended,full-20260912-183247-67006adc,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,marker_M/modality_optional,full-20260912-183056-a8f859c6,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,marker_M/modality_optional,full-20260912-183247-67006adc,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,marker_M/modality_nice_to_have,full-20260912-183056-a8f859c6,155,155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,marker_M/modality_nice_to_have,full-20260912-183247-67006adc,155,155,0.7483870967741936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,marker_O/modality_mandatory,full-20260912-183056-a8f859c6,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,marker_O/modality_mandatory,full-20260912-183247-67006adc,25,25,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,marker_O/modality_recommended,full-20260912-183056-a8f859c6,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,marker_O/modality_recommended,full-20260912-183247-67006adc,25,25,0.96,0.04,0.0,0.12,0.0,0.12,0.04,0.0,0.12,0.0,0.12,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,marker_O/modality_optional,full-20260912-183056-a8f859c6,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,marker_O/modality_optional,full-20260912-183247-67006adc,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,bare,marker_O/modality_nice_to_have,full-20260912-183056-a8f859c6,25,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-12b-it,document,marker_O/modality_nice_to_have,full-20260912-183247-67006adc,25,25,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,all,full-20260912-155608-49b7f0d3,720,720,1.0,0.25,0.21944444444444444,0.2833333333333333,0.25,0.25,0.25,0.21944444444444444,0.2833333333333333,0.25,0.25,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,all,full-20260912-160021-5684d7ca,720,720,0.9986111111111111,0.25,0.21944444444444444,0.28194444444444444,0.25,0.25,0.25,0.21944444444444444,0.28194444444444444,0.25,0.25,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,weak_intent,full-20260912-155608-49b7f0d3,180,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,1.0,full_arm_descriptive,0,0
gemma4-31b-it,document,weak_intent,full-20260912-160021-5684d7ca,180,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,1.0,full_arm_descriptive,0,0
gemma4-31b-it,bare,marker_M,full-20260912-155608-49b7f0d3,620,620,1.0,0.25,0.2161290322580645,0.2822983870967742,0.25,0.25,0.25,0.2161290322580645,0.2822983870967742,0.25,0.25,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,marker_M,full-20260912-160021-5684d7ca,620,620,1.0,0.25,0.21774193548387097,0.2838709677419355,0.25,0.25,0.25,0.21774193548387097,0.2838709677419355,0.25,0.25,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,marker_O,full-20260912-155608-49b7f0d3,100,100,1.0,0.25,0.17,0.34,0.25,0.25,0.25,0.17,0.34,0.25,0.25,item_id,,full_arm_descriptive,0,0
