model,dataset,variant,source_modality,n_items,n_valid,n_parse_failures,n_text_unclassified,broad_strengthening_n,broad_strengthening_denominator,broad_strengthening_rate,broad_strengthening_ci_low,broad_strengthening_ci_high,broad_strengthening_seed_ci_low,broad_strengthening_seed_ci_high,strict_strengthening_n,strict_strengthening_denominator,strict_strengthening_rate,strict_strengthening_ci_low,strict_strengthening_ci_high,strict_strengthening_seed_ci_low,strict_strengthening_seed_ci_high,strengthening_ci_cluster_field,strict_high_conf_share_90,agreement_n_complete,agreement_n_incomplete_excluded,requirement_word_count_n,mean_requirement_word_count
gemma4-12b-it,mlm_tapt,shall,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,1.0,180,0,180,17.1
gemma4-31b-it,mlm_tapt,shall,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.094444444444445
gemma4-31b-it,mlm_tapt,shall,recommended,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.08888888888889
gemma4-31b-it,mlm_tapt,shall,optional,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.116666666666667
gemma4-31b-it,mlm_tapt,shall,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,179,180,0.9944444444444445,0.9833333333333333,1.0,0.9833333333333333,1.0,item_id,1.0,179,0,180,17.116666666666667
glm-5.3,mlm_tapt,shall,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.08888888888889
glm-5.3,mlm_tapt,shall,recommended,180,180,0,0,1,180,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,1,180,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,item_id,1.0,1,0,180,17.177777777777777
glm-5.3,mlm_tapt,shall,optional,180,180,0,0,1,180,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,1,180,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,item_id,1.0,1,0,180,17.183333333333334
glm-5.3,mlm_tapt,shall,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,0.4111111111111111,180,0,180,17.15
glm-5.3-flash,mlm_tapt,shall,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.155555555555555
glm-5.3-flash,mlm_tapt,shall,recommended,180,180,0,0,10,180,0.05555555555555555,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.08888888888888889,10,180,0.05555555555555555,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.08888888888888889,item_id,1.0,10,0,180,17.105555555555554
glm-5.3-flash,mlm_tapt,shall,optional,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.07777777777778
glm-5.3-flash,mlm_tapt,shall,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,0.4666666666666667,180,0,180,17.177777777777777
gpt-oss-20b,mlm_tapt,shall,mandatory,180,180,0,46,0,134,0.0,0.0,0.0,0.0,0.0,0,134,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,15.994444444444444
gpt-oss-20b,mlm_tapt,shall,recommended,180,180,0,55,45,125,0.36,0.2772679150400318,0.4454752066115702,0.2772679150400318,0.4454752066115702,30,125,0.24,0.1629539295392954,0.31580071974808815,0.1629539295392954,0.31580071974808815,item_id,1.0,30,0,180,15.8
